year,cause,severity,total
2020,Obstacle on Carriage Way,Minor,13 
2019,Obstacle on Carriage Way,Fatal,1 
2019,Obstacle on Carriage Way,Serious,1 
2019,Obstacle on Carriage Way,Minor,2 
2018,Obstacle on Carriage Way,Fatal ,0 
2018,Obstacle on Carriage Way,Serious,0 
2018,Obstacle on Carriage Way,Minor ,1 
2017,Obstacle on Carriage Way,Fatal,22 
2017,Obstacle on Carriage Way,Serious,44 
2017,Obstacle on Carriage Way,Minor,52 
2016,Obstacle on Carriage Way,Fatal,0 
2016,Obstacle on Carriage Way,Serious,1 
2016,Obstacle on Carriage Way,Minor,0 
2015,Obstacle on Carriage Way,Fatal,0 
2015,Obstacle on Carriage Way,Serious,4 
2015,Obstacle on Carriage Way,Minor,2 
2014,Obstacle on Carriage Way,Fatal,0 
2014,Obstacle on Carriage Way,Serious,1 
2014,Obstacle on Carriage Way,Minor,2 
2013,Obstacle on Carriage Way,Fatal,0 
2013,Obstacle on Carriage Way,Serious,2 
2013,Obstacle on Carriage Way,Minor ,1 
2012,Obstacle on Carriage Way,Fatal,3 
2012,Obstacle on Carriage Way,Serious,12 
2012,Obstacle on Carriage Way,Minor,44 
